type,title,organization,year,url,publication_number,source_status,evidence_role,case_id,notes
patent,Method for producing carbon fibers,Union Carbide Corporation,1980,https://patents.google.com/patent/US4370169,US4370169,verified_primary,process_claim_support,case_01_pan_graphitization,炭化プロセスの古典的参照
patent,Process for producing carbon fibers from PAN,Toray Industries,1993,https://patents.google.com/patent/US5176959,US5176959,verified_primary,process_claim_support,case_01_pan_graphitization,PAN系前駆体・炭化条件
patent,PAN based carbon fibers,Mitsubishi Rayon,1988,https://patents.google.com/patent/EP0274055,EP0274055,candidate,process_property,case_01_pan_graphitization,黒鉛化・物性の請求項確認用
patent,Process for producing high strength carbon fibers,Toho Rayon,1976,https://patents.google.com/patent/US3969557,US3969557,candidate,process_claim_support,case_01_pan_graphitization,PAN前駆体・高強度化
patent,Manufacture of carbon fibers,Union Carbide Corporation,1985,https://patents.google.com/patent/US4532173,US4532173,candidate,process_claim_support,case_01_pan_graphitization,耐炎化・炭化条件
patent,Graphite fibers,Amoco Corporation,1990,https://patents.google.com/patent/US4943513,US4943513,candidate,process_property,case_01_pan_graphitization,黒鉛化・高弾性率
paper,Structure and properties of PAN-based carbon fibers,Journal of Materials Science,1990,https://doi.org/10.1007/BF00549252,,candidate,process_property,case_01_pan_graphitization,process-property 裏取り用論文
paper,Carbon fibre structure and elastic properties,Carbon,1984,https://doi.org/10.1016/0008-6223(84)90140-0,,candidate,process_property,case_01_pan_graphitization,結晶構造・弾性率
web_signal,Carbon fiber manufacturing overview,National Composites Centre,,https://www.nccuk.com/, ,weak_signal,background_context,case_01_pan_graphitization,候補情報のみ。Claim根拠にしない
company,Toray carbon fiber product line overview,Toray Industries,,https://www.toray.com/global/products/cf.html,,weak_signal,company_signal,case_01_pan_graphitization,候補情報のみ。一次確認要
