candidate_id,case_id,source_type,publication_number,family_id,title,abstract,organization,assignee,inventors,country_code,kind_code,publication_date,year,url,source_url,source_status,evidence_role,reliability_label,verification_status,candidate_information_only,human_review_required,raw_source_file,raw_row_number,normalized_title,normalized_publication_number,dedupe_key,is_duplicate,duplicate_of,keyword_match_count,matched_keywords,heuristic_score,score_reason,next_verification_action,rank,positive_reasons,negative_reasons,ranking_policy,selected_stage,why_selected,stage_label,exclusion_reason,created_at
case_01_pan_graphitization:lc:c40f67f5d4,case_01_pan_graphitization,patent,CN116657283B,87723081,Composite carbon fiber and preparation method thereof,"The invention discloses a composite carbon fiber and a preparation method thereof, wherein the method comprises the steps of (1) providing a spray head, wherein the spray head comprises an inner channel and an outer channel, the outer channel is arranged around the periphery of the inner channel, a polyacrylonitrile solution is introduced into the outer channel, a mixed solution comprising polyacrylonitrile and mesophase pitch is introduced into the inner channel for spinning, a core layer comprising polyacrylonitrile and mesophase pitch is obtained, a sheath layer comprising primary fibers of polyacrylonitrile is obtained, (2) the primary fibers are sequentially subjected to boiling water drafting, water washing, oiling, drying densification and steam drafting, and precursor fibers with a sheath-core structure are obtained, and (3) the precursor fibers are sequentially subjected to pre-oxidation, carbonization and graphitization, so that the composite carbon fiber is obtained. The method can be used for preparing the composite carbon fiber with small radial graphitization difference, and the composite carbon fiber has excellent tensile strength and tensile modulus at a lower graphitization temperature.",北京化工大学,北京化工大学,,CN,B,20250516,2025,https://patents.google.com/patent/CN116657283B/en,https://patents.google.com/patent/CN116657283B/en,candidate,claim_source,unverified,unverified,True,True,/Users/esakitakusei/Documents/python/practice/portfolio/2026_Hackathon/PatentScout_AI_v8/cases/case_01_pan_graphitization/large_candidates/case_01_bigquery_export_1000.csv,2,composite carbon fiber and preparation method thereof,CN116657283B,pub:CN116657283B,False,,0,,0.0,,,0,,,,,,deduped,,2026-06-27T01:16:02+00:00
case_01_pan_graphitization:lc:145887152f,case_01_pan_graphitization,patent,CN109402791B,65465116,High-strength high-modulus carbon fiber with regular surface cross-section structure and preparation method thereof,"The invention discloses a high-strength high-modulus carbon fiber with a regular surface cross-section structure and a preparation method thereof, wherein the method comprises the following steps: (1) polymerizing acrylonitrile and itaconic acid or acrylonitrile and itaconic acid and methyl acrylate to obtain a polymer spinning solution; (2) sequentially solidifying, steam drafting, washing, oiling, drying, superheated steam drafting and heat setting the polymer spinning solution to obtain polyacrylonitrile protofilaments; (3) carrying out preoxidation, carbonization and graphitization treatment on polyacrylonitrile precursor to obtain carbon fiber, wherein in the step (2), the solidification process adopts three-level gradient solidification: the concentration of the first coagulation bath is 65-80 wt%, the temperature is 30-65 ℃, the coagulation draft multiple is 0.5-1.0 time, the concentration of the second coagulation bath is 35-50 wt%, and the concentration of the third coagulation bath is 5-10 wt%. The method can be used for obtaining the high-strength high-modulus carbon fiber with a circular section and an oriented surface groove structure, wherein the linear density of the carbon fiber is 225-235 g/km (6K), 435-447 g/km (12K), the tensile strength is 4.4-5.0 GPa, the tensile modulus is 350-400 GPa, and the bulk density is 1.77-1.79g/cm 3 。",北京化工大学,北京化工大学,,CN,B,20210205,2021,https://patents.google.com/patent/CN109402791B/en,https://patents.google.com/patent/CN109402791B/en,candidate,claim_source,unverified,unverified,True,True,/Users/esakitakusei/Documents/python/practice/portfolio/2026_Hackathon/PatentScout_AI_v8/cases/case_01_pan_graphitization/large_candidates/case_01_bigquery_export_1000.csv,4,high-strength high-modulus carbon fiber with regular surface cross-section structure and preparation method thereof,CN109402791B,pub:CN109402791B,False,,0,,0.0,,,0,,,,,,deduped,,2026-06-27T01:16:02+00:00
case_01_pan_graphitization:lc:955bed7c38,case_01_pan_graphitization,patent,CN108286090A,62836464,A kind of preparation method of polyacrylonitrile-radical high-strength high-modules carbon fibre,"The present invention relates to a kind of polyacrylonitrile-radical high-strength high-modules carbon fibre preparation methods.By polyacrylonitrile (PAN) precursor after conventional pre-oxidation, low-temperature carbonization, by improving high temperature cabonization temperature and matching certain stretching, or by promoting high temperature cabonization stretching ratio, carbon crystallite orientation can effectively be controlled, obtain the high temperature cabonization fiber that the angle of orientation is not more than 17.5 °, then high temperature graphitization hot-stretch processing is carried out at a temperature of relatively low high temperature graphitization, and the carbon fiber with high-strength and high-modulus feature of 3.8~5.0GPa of tensile strength, 500~600GPa of stretch modulus has been prepared.The preparation method of the present invention reduces requirement of the high temperature graphitization to equipment, is conducive to energy-saving and reduces cost, and operation is simple.",UNIV BEIJING CHEM TECH,北京化工大学,WANG YU; ZHAO ZHENWEN; GAO AIJUN; LI CHANGQING; XU LIANGHUA; TONG YUANJIAN; CAO WEIYU,CN,A,20180717,2018,https://patents.google.com/patent/CN108286090A/en,https://patents.google.com/patent/CN108286090A/en,candidate,claim_source,unverified,unverified,True,True,/Users/esakitakusei/Documents/python/practice/portfolio/2026_Hackathon/PatentScout_AI_v8/cases/case_01_pan_graphitization/large_candidates/case_01_bigquery_export_1000.csv,5,a kind of preparation method of polyacrylonitrile-radical high-strength high-modules carbon fibre,CN108286090A,pub:CN108286090A,False,,0,,0.0,,,0,,,,,,deduped,,2026-06-27T01:16:02+00:00
case_01_pan_graphitization:lc:9ad4c602c9,case_01_pan_graphitization,patent,CN120967552B,97639651,Dry-jet wet-spinning ultra-high performance polyacrylonitrile-based carbon fiber and preparation method thereof,"The application relates to a dry-jet wet-spinning ultra-high performance polyacrylonitrile-based carbon fiber and a preparation method thereof, belonging to the technical field of carbon fibers. A preparation method of dry-jet wet-spinning ultra-high performance polyacrylonitrile-based carbon fiber comprises the steps of S1, mixing acrylonitrile, a comonomer, a chain transfer agent, an initiator and a solvent, carrying out polymerization reaction through a solvent dripping method, and preparing spinning stock solution, wherein the comonomer comprises a first comonomer, a second comonomer and a third comonomer, S2, solidifying, washing, water drawing, oiling, drying and steaming the spinning stock solution to obtain a precursor fiber, and S3, sequentially carrying out pre-oxidation, low-temperature carbonization, high-temperature carbonization, graphitization, surface treatment, sizing and drying on the precursor fiber to obtain the ultra-high performance polyacrylonitrile-based carbon fiber, wherein the pre-oxidation adopts four-stage pre-oxidation treatment. The strength and the modulus of the carbon fiber can be effectively and synergistically optimized, and the carbon fiber with high strength and high modulus can be prepared.",中复神鹰碳纤维股份有限公司,中复神鹰碳纤维股份有限公司,,CN,B,20260303,2026,https://patents.google.com/patent/CN120967552B/en,https://patents.google.com/patent/CN120967552B/en,candidate,claim_source,unverified,unverified,True,True,/Users/esakitakusei/Documents/python/practice/portfolio/2026_Hackathon/PatentScout_AI_v8/cases/case_01_pan_graphitization/large_candidates/case_01_bigquery_export_1000.csv,6,dry-jet wet-spinning ultra-high performance polyacrylonitrile-based carbon fiber and preparation method thereof,CN120967552B,pub:CN120967552B,False,,0,,0.0,,,0,,,,,,deduped,,2026-06-27T01:16:02+00:00
case_01_pan_graphitization:lc:e1d2551af5,case_01_pan_graphitization,patent,CN119411258A,94462276,"High-strength middle-mode, high-strength high-mode carbon fiber and preparation method thereof","The invention discloses a high-strength medium-mode, high-strength high-mode carbon fiber and a preparation method thereof, belonging to the technical field of carbon fiber preparation, wherein the preparation method comprises the following steps of adding polyacrylonitrile, 2,4, 6-triaminopyrimidine and barbituric acid into an organic solvent according to raw material proportion to prepare a polyacrylonitrile spinning solution; the method comprises the steps of preparing a primary fiber from a polyacrylonitrile spinning solution through a wet spinning process or a dry-wet spinning process after defoaming and filtering, then preparing a polyacrylonitrile precursor gradually through the steps of washing, drafting, oiling, drying densification and steam drafting, and carrying out pre-oxidation treatment on the polyacrylonitrile precursor through a multi-stage pre-oxidation process, and then carrying out carbonization process or graphitization process treatment to obtain the high-strength medium-modulus carbon fiber and the high-strength high-modulus carbon fiber respectively. The invention can reduce the carbonization or graphitization temperature required by production and can simultaneously realize the aims of high modulus and high strength of the carbon fiber.",DONGHUA ENERGY MAOMING CARBON FIBER CO LTD,东华能源(茂名)碳纤维有限公司,ZHANG YE; ZHU BO; ZHU ANPING; SUN YONGLIAN; LYU JIANGUO,CN,A,20250211,2025,https://patents.google.com/patent/CN119411258A/en,https://patents.google.com/patent/CN119411258A/en,candidate,claim_source,unverified,unverified,True,True,/Users/esakitakusei/Documents/python/practice/portfolio/2026_Hackathon/PatentScout_AI_v8/cases/case_01_pan_graphitization/large_candidates/case_01_bigquery_export_1000.csv,7,"high-strength middle-mode, high-strength high-mode carbon fiber and preparation method thereof",CN119411258A,pub:CN119411258A,False,,0,,0.0,,,0,,,,,,deduped,,2026-06-27T01:16:02+00:00
case_01_pan_graphitization:lc:0fd5d76a28,case_01_pan_graphitization,patent,CN120925116A,97588068,Continuous preparation process of high-strength carbon fiber precursor,"The application provides a continuous preparation process of high-strength carbon fiber precursor, which realizes accurate control of the proportion of copolymerization components by monitoring multidimensional parameters in the polymerization reaction process in real time, establishing a molecular weight distribution prediction model and carrying out self-adaptive regulation. On the basis, the application constructs a fiber pore structure distribution model, optimizes spinning process parameters, monitors the pre-oxidation process by a differential scanning calorimetry method, and adjusts a heating curve to obtain the pre-oxidized fiber with high cyclizing degree. Finally, the segmented carbonization treatment is adopted, the dehydrocyclization and graphitization degree are controlled, and the high-performance carbon fiber with the tensile strength exceeding 3.5GPa is prepared. According to the application, through intelligent monitoring and regulation of the whole process, the accurate control of the preparation process of the polyacrylonitrile-based carbon fiber is realized, and the product performance and the production efficiency are remarkably improved.",GUANGDONG SHENYANG NEW MATERIAL TECH CO LTD,广东神扬新材料科技有限公司,CHEN NING,CN,A,20251111,2025,https://patents.google.com/patent/CN120925116A/en,https://patents.google.com/patent/CN120925116A/en,candidate,claim_source,unverified,unverified,True,True,/Users/esakitakusei/Documents/python/practice/portfolio/2026_Hackathon/PatentScout_AI_v8/cases/case_01_pan_graphitization/large_candidates/case_01_bigquery_export_1000.csv,8,continuous preparation process of high-strength carbon fiber precursor,CN120925116A,pub:CN120925116A,False,,0,,0.0,,,0,,,,,,deduped,,2026-06-27T01:16:02+00:00
case_01_pan_graphitization:lc:02e7d8e6af,case_01_pan_graphitization,patent,CN117569087A,89892974,Composite polyacrylonitrile-based graphite soft felt and preparation method thereof,"The invention discloses a composite polyacrylonitrile-based graphite soft felt and a preparation method thereof, wherein the composite polyacrylonitrile-based graphite soft felt is prepared mainly through precursor crimping, chopping, opening, carding to form a net, pre-oxidizing, layering, needle punching forming, low-temperature carbonization, high-temperature carbonization and high-temperature graphitization, and sizing; according to the invention, through a pre-needling and re-needling process, the size uniformity and the tensile strength of the formed pre-oxidized fiber felt are greatly improved; the pre-oxidation treatment process is advanced to carding and net forming, so that the production efficiency is greatly improved by 200-300% compared with the traditional production process, and the problems of ignition and the like caused by heat accumulation in the pre-oxidation process due to insufficient heat dissipation of the carbon fiber soft felt are effectively avoided.",JIANGSU MIGE NEW MAT CO LTD,江苏米格新材料股份有限公司,LI KAI; CHEN XINHUA; ZHANG QINQUAN,CN,A,20240220,2024,https://patents.google.com/patent/CN117569087A/en,https://patents.google.com/patent/CN117569087A/en,candidate,claim_source,unverified,unverified,True,True,/Users/esakitakusei/Documents/python/practice/portfolio/2026_Hackathon/PatentScout_AI_v8/cases/case_01_pan_graphitization/large_candidates/case_01_bigquery_export_1000.csv,10,composite polyacrylonitrile-based graphite soft felt and preparation method thereof,CN117569087A,pub:CN117569087A,False,,0,,0.0,,,0,,,,,,deduped,,2026-06-27T01:16:02+00:00
case_01_pan_graphitization:lc:febb98a726,case_01_pan_graphitization,patent,CN111621878B,72269655,Large-diameter high-strength medium-modulus and high-strength high-modulus carbon fiber with surface groove structure and preparation method thereof,"The invention relates to a large-diameter polyacrylonitrile-based high-strength medium-modulus and high-strength high-modulus carbon fiber with a surface groove structure and a preparation method thereof. The invention adopts wet spinning to prepare large-diameter precursor, carries out pre-oxidation treatment in a pre-oxidation gas atmosphere with the volume concentration higher than that of oxygen in air to obtain homogeneous pre-oxidation fiber with basically the same radial optical density value, then carries out low-temperature carbonization and high-temperature carbonization to prepare large-diameter high-strength medium-modulus carbon fiber with the diameter of 8.5-10 mu m, the strength of 4.90-6.10 GPa and the modulus of 270-310 GPa, and carries out high-temperature graphitization treatment with the length longer than the conventional treatment time to obtain large-diameter high-strength high-modulus carbon fiber with the surface groove structure, the diameter of 7-10 mu m, the strength of 3.70-5.50 GPa and the modulus of 370-688 GPa. The improvement of the diameter of the carbon fiber not only improves the alignment of the fiber and improves the wettability of the resin in the preparation of the composite material, but also is beneficial to the meshing effect of the carbon fiber and the resin due to the surface groove structure, and finally improves the mechanical property of the composite material.",北京化工大学,北京化工大学,,CN,B,20230428,2023,https://patents.google.com/patent/CN111621878B/en,https://patents.google.com/patent/CN111621878B/en,candidate,claim_source,unverified,unverified,True,True,/Users/esakitakusei/Documents/python/practice/portfolio/2026_Hackathon/PatentScout_AI_v8/cases/case_01_pan_graphitization/large_candidates/case_01_bigquery_export_1000.csv,11,large-diameter high-strength medium-modulus and high-strength high-modulus carbon fiber with surface groove structure and preparation method thereof,CN111621878B,pub:CN111621878B,False,,0,,0.0,,,0,,,,,,deduped,,2026-06-27T01:16:02+00:00
case_01_pan_graphitization:lc:72dba6a9be,case_01_pan_graphitization,patent,CN113981569B,79742428,Method for producing graphite fibers by catalytic graphitization,"The invention provides a method for producing graphite fibers by catalytic graphitization, which comprises the following steps: taking polyacrylonitrile-based precursor, and pre-oxidizing in an air atmosphere; carbonizing at low temperature; carbonizing at high temperature; preparing a boron-containing catalyst; immersing the carbonized carbon fiber in a boron-containing catalyst, and drying at 180-200 ℃ for 60-90 s; graphitizing: graphitizing for 20-40 s at the temperature of 2200-2400 ℃ in an argon atmosphere. According to the invention, the hydrogen chloride gas with a certain concentration is introduced into the atmosphere of the carbonization section, so that the carbonization time and temperature can be reduced, and the purity of the fiber can be improved; meanwhile, the graphitized fiber is subjected to graphitization treatment by impregnating the carbonized fiber with the boron compound, so that the graphitization temperature can be reduced, the graphitization time can be shortened, the strength and modulus of the graphite fiber can be improved to a certain extent, an antioxidation coating can be formed by using the boron-containing catalyst, the service life of graphitization equipment can be prolonged, and the running and maintenance cost of the equipment can be reduced.",因达孚先进材料(苏州)有限公司,因达孚先进材料(苏州)有限公司,,CN,B,20230623,2023,https://patents.google.com/patent/CN113981569B/en,https://patents.google.com/patent/CN113981569B/en,candidate,claim_source,unverified,unverified,True,True,/Users/esakitakusei/Documents/python/practice/portfolio/2026_Hackathon/PatentScout_AI_v8/cases/case_01_pan_graphitization/large_candidates/case_01_bigquery_export_1000.csv,12,method for producing graphite fibers by catalytic graphitization,CN113981569B,pub:CN113981569B,False,,0,,0.0,,,0,,,,,,deduped,,2026-06-27T01:16:02+00:00
case_01_pan_graphitization:lc:c4f6dfb6e4,case_01_pan_graphitization,patent,US2007196648A1,34975617,"Carbon fiber, process for production thereof, prepregs, and golf club shafts","A carbon fiber tow composed of many carbon filaments and having a strand tensile strength of 3.8 to 5.5 GPa, a strand tensile modulus of 180 to 220 GPa and a carbon crystal size (Lc) of 13 to 18 Å. This carbon fiber tow can be produced by subjecting a precursor fiber tow composed of many polyacrylonitrile filaments which have a lightness difference (ΔL) of 50 or below and fineness of 1.1 to 1.7 dtex to oxidative stabilization and subjecting the stabilized fiber tow to carbonization with the maximum temperature within the range of 1,100 to 1,300° C. in an inert atmosphere while raising the temperature from 1,000° C. to the maximum temperature at a temperature rise rate of 100 to 2,000° C./min.",ENDO MAKOTO; TAKIYAMA HIROYUKI; ANDOU NOBUYA,Makoto Endo; Hiroyuki Takiyama; Nobuya Andou,ENDO MAKOTO; TAKIYAMA HIROYUKI; ANDOU NOBUYA,US,A1,20070823,2007,https://patents.google.com/patent/US2007196648A1/en,https://patents.google.com/patent/US2007196648A1/en,candidate,claim_source,unverified,unverified,True,True,/Users/esakitakusei/Documents/python/practice/portfolio/2026_Hackathon/PatentScout_AI_v8/cases/case_01_pan_graphitization/large_candidates/case_01_bigquery_export_1000.csv,14,"carbon fiber, process for production thereof, prepregs, and golf club shafts",US2007196648A1,pub:US2007196648A1,False,,0,,0.0,,,0,,,,,,deduped,,2026-06-27T01:16:02+00:00
